Name,Description,CMC Code,Units,CBP Method,Tier,NonfatalLowerRange,NonfatalUpperRange,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,Is Calibration Parameter?,Analytical Method,USEPA Approved Procedure,Equipment,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,Tier Justification,Holding Time,Sample Preservation
Alkalinity,Alkalinity (Titration),ALKY.1,mg/L,257,2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Kit,EPA-NERL: 310.1,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),4 mg/L,Unknown - testing needed,0-200+ mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,24 hours,Cool; <= 6 deg C
Alkalinity,Alkalinity,ALKY.2,mg/L,999,2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Probe,See Appendix A,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,HI775-11 Alkalinity Checker HC Calibration Check Set,"Standardization, >10% field reps",24 hours,Cool; <= deg C
Air temperature,Air Temperature,AT.1,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Air temperature,Air Temperature,AT.2,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (Ex. Hanna 98509),0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged.,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Air temperature,Air Temperature,AT.3,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiparameter Probe (Ex. LaMotte 1761),0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Chlorophyll a,Chlorophyll a,CHL.1,ug/L,25,p2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Lab Analysis (Fluorometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,30 days,Freeze to -20 C
Chlorophyll a,Chlorophyll a,CHL.2,ug/L,25,2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Lab Analysis (Fluorometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified lab/10% blank/>10% duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.3,ug/L,23,p2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.4,ug/L,23,2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified lab/>10% blank/>10% duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.5,mg/L,999,2,0,200,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 447.0,HPLC,,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Lab Analysis,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a,CHL.6,ug/L,23,3,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Tier III approved,30 days,Freeze to -20 C
Conductivity,Conductivity,CO.1,uS/cm,242,2,0,20000,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 120.1,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",28 days,Cool; <= deg C
Conductivity,Conductivity,CO.2,mS/cm,242,2,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",28 days,Cool; <= deg C
Dissolved oxygen,Dissolved Oxygen,DO.1,mg/L,50,2,0,20,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,USEPA Method 360.2,Winkler Titration (LaMotte 5860),0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,Before Each Use,Iodide-Iodate standard 0.00125 N (equivalent to 10 mg/L as DO,"Standardized, >10% field reps",8 hours after acidiciation,Immediate acidification
Dissolved oxygen,Dissolved Oxygen,DO.2,mg/L,48,2,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,"Calibration, >10% field reps",N/A,N/A
Bacteria (E.Coli),Bacteria (E.coli),ECOLI.1,CFU/100mL,999,1,0,2419,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Coliscan Easy Gel,20 CFU/100mL,log(0.6),<20 CFU/100mL to ,,,Before each use,Collection bottles and plates remain sterile; media and plates have not expired,N/A,N/A,N/A,,
Enterococcus,Enterococcus,ENT.1,MPN,999,2,0,2419,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,ASTM Method (#D6503-99),IDEXX Enterolert,1 enterococci/100 mL  ,,1-2;419 enterococci/100 mL  ,,<0 E/100 mL; >2;500 E/100mL,Before each use,Sample collection bottles and Quanti-Tray are sterile and intact,Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult) ,Certified Lab and >10% Blanks/Dups,,
Enterococcus,Enterococcus,ENT.2,CFU,999,2,0,2419,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 1600,Membrane Filtration; m-EI prepared Agar Plates,Dependent on dilution,,Dependent on dilution,,<0 E/100 mL; >2;500 E/100mL,Before each use,All equipment is intact and operational,N/A,N/A,Certified Lab and >10% Blanks/Dups,,
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.3,mg/L,999,2,0,15,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,See Appendix A,Field Colorimeter (ex. Hach),0; 1; 2; 4; 6; 8; 10; 15 mg/L,Unknown - testing needed,0 - 15 mg/L,,<0 mg/L; > 15 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,"Acid-wash glassware, standardized, >10% dups",48 hours,Cool; <= deg C
Orthophosphate,Orthophosphate,OP.1,mg/L,999,1,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Colorimetric Kit (ex. Hach PO-19 224800; Hanna HI 38061),0.02 mg/L (0 - 1 mg/L),Unknown - testing needed,0 - 1 mg/L; 0 - 5 mg/L,,<0 mg/L; > 5 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,48 hours,Cool; <= deg C
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.4,mg/L,144,2,0,15,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Lab,USEPA Method 353.3,"Specific to individual lab (ex. Colorimeter, spectrophotometer)",,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab/>10% Blank/Dup,Dependendent on preservation method - 28 days maximum,
Ammonia-nitrogen,Ammonia,NH4N.1,mg/L,123,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method  350.1 (non-tidal) / 349.0 (tidal),Specific to individual lab,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dup,Dependendent on preservation method - 28 days maximum,Cool; <= deg C (48 hours); Add H2SO4 to pH < 2 and Cool; <= deg C (7 days); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Nitrite-nitrate,Nitrite-nitrate,NO2NO3.1,mg/L,144,2,0,5,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 353.3 (non-tidal) / 353.4 (tidal),Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dup,Dependendent on preservation method - 28 days maximum,Cool;  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.1,mg/L,999,1,0,15,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Kit,See Appendix A,Colorimetric kit (ex. Hach NI-14 1416100; LaMotte 3110; LaMotte 3354),0.01 mg/L (0 - 1 mg/L); 0.1 mg/L (1 - 10 mg/L),Unknown - testing needed,0 - 1 mg/L; 1 - 10 mg/L,,<0 mg/L; >10 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,N/A,48 hours,Cool; <= deg C
Orthophosphate,Orthophosphate,OP.2,mg/L,189,p2,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,See Appendix A,"Field Colorimeter (ex. Hach, Hanna Digital Checker)",0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,Unknown,Before each use,N/A,N/A,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Orthophosphate,Orthophosphate,OP.3,mg/L,188,2,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 365.2,"Field colorimeter (ex. Hach, Hanna Digital Checker)",0.01 mg/L,+- 4%; 0.04 mg/L,1 - 2.5 mg/L,,>TDP,,,Before Each Use,Calibrate using known standards covering entire range of expected values,"Acid-wash glassware, standardized, >10% dups",48 hours,Cool; <= deg C
Orthophosphate,Orthophosphate,OP.4,ug/L,188,2,0,5000,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 365.5 (tidal),"Specific to individual lab (ex. Colorimeter, spectrophotometer)",<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TDP,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified lab and >10% Blanks/dups,Dependendent on preservation method - 28 days maximum,Cool;  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
pH,pH,PH.1,SU,171,2,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,pH individual probe (ex. Hanna; LaMotte; Oakton; Extech),0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH ,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,"Calibration, >10% field reps",24 hours,Cool; <= deg C
pH,pH Kit,PH.2,SU,173,2,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,>10% field dups,24 hours,Cool; <= deg C
pH,pH,PH.3,SU,999,1,0,14,Water,FALSE,TRUE,TRUE,TRUE,FALSE,Kit,,ColorpHast pH Strips (2 - 9),0.5 pH units,Unknown - testing needed,2 - 9 pH units,,< 4.0 pH units; > 9.5 pH units,Before each use,Strips are not discolored or wet,N/A,N/A,N/A,24 hours,Cool; <= deg C
Phaeophytin,Phaeophytin,PHAE.1,mg/L,178,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Fluorometry,<= 15% RPD,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,30 days,Freeze to -20 C
Phaeophytin,Phaeophytin,PHAE.2,ug/L,178,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Fluorometry,<= 15% RPD,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,30 days,Freeze to -20 C
Salinity,Salinity (Refractometer),SA.1,ppt,999,1,,,Water,TRUE,FALSE,FALSE,TRUE,FALSE,Kit,See Appendix A,Refractometer (ex. Extech; General),1 ppt,+-0.1%,0 to 100 ppt,,<0 mg/L; >100 ppt,Before each use,Prism plate is clean and instrument is intact,Before Each Use,2-3 drops of distilled water to zero instrument,N/A,,
Salinity,Salinity,SA.2,ppt,999,p1,,,Water,TRUE,FALSE,FALSE,TRUE,FALSE,Kit,See Appendix A,Refractometer (ex. Extech; General),1 ppt,+-0.1%,0 to 100 ppt,,<0 mg/L; >100 ppt,Before each use,Prism plate is clean and instrument is intact,Before Each Use,2-3 drops of distilled water to zero instrument,Historical data/not trained using CMC methods,,
Salinity,Salinity,SA.3,ppt,220,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,-0.02,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",,
Salinity,Salinity,SA.4,ppt,220,1,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,+-2%,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,Unknown,,N/A,N/A,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,,
Silicate,Silicate,SIO3.1,mg/L,227,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 366.0,Specific to individual lab,<= 15% RPD,,,,,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,28 days,Chill on ice to <4C
Silicate,Silicate,SIO3.2,ug/L,227,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 366.0,Specific to individual lab,<= 15% RPD,,,,,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,28 days,Chill on ice to <4C
Total Depth,Total Depth,TD.1,M,381,1,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,,Tape Measure,,,,,,,,N/A,,,,
Total Dissolved Solids,Total Dissolved Solids,TDS.1,mg/L,999,1,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,See Appendix A,Individual Probe (ex. LaMotte 1749; Extech),10 mg/L,+- 2% FS,0 - 9.99 g/L,,<0 g/L; >10 g/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Calculated value,N/A,N/A
Total Suspended Solids,Total Suspended Solids,TSS.1,mg/L,397,2,,,Water,FALSE,TRUE,TRUE,TRUE,FALSE,Lab,SM 2540 D-11,Specific to individual lab,1.0 mg/L,,,,,,,N/A,,Certified Lab and >10% Blank/Dups,,
Total Nitrogen,Total Nitrogen,TN.1,mg/L,999,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 351.2,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,28 days,Freeze to -20 C
