Name,Description,CMC Code,Units,CBP Method,Tier,NonfatalLowerRange,NonfatalUpperRange,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,Is Calibration Parameter?,Analytical Method,USEPA Approved Procedure,Equipment,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,Tier Justification,Holding Time,Sample Preservation
Total Phosphorus,Total Phosphorus,TP.1,mg/L,388,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 365.4,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,Dependendent on preservation method - 28 days maximum,Cool;  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Phosphorus,Total Phosphorus,TP.2,mg/L,388,p2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 365.4,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,"QA measures not fulfilled: Not approved lab, <10% blank/dups",Dependendent on preservation method - 28 days maximum,Cool;  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Water Clarity,Turbidity,WC.5,JTU,399,1,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Turbidity Test Kit (ex. LaMotte 7519),5 JTU; 10 JTU,+- 5 JTU,0 - 100 JTU; 0 - 200 JTU,,< 0 JTU; > 300 JTU,Before each use,Turbidity columns are clean; reagents have not expired,N/A,N/A,N/A,24 hours,Cool; <= deg C; store in dark
Water Clarity,Secchi Disk,WC.1,M,225,1,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Secchi Disk (Ben Meadows 224217),10 cm,20 cm,0 - 300 cm ,,<0 cm; >300 cm,Before each use / Annual ,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,N/A,N/A,N/A
Water Clarity,Secchi Disk,WC.2,M,225,3,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Secchi Disk (Ben Meadows 224217),10 cm,20 cm,0 - 300 cm ,,<0 cm; >300 cm,Before each use / Annual ,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,Tier III,N/A,N/A
Water Clarity,Turbidity,WC.3,NTU,402,1,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 180.1,Turbidimeter (ex. Hach 2100P),,± 2%,0.01-1000 NTU,,<0 cm; >300 cm,Before each use,,N/A,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
Water Clarity,Turbidity Tube,WC.4,cm,999,1,0,120,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Turbidity Tube (Forestry Suppliers 77107; Ben Meadows 111360),2 cm,Unknown - testing needed,0 - 60 cm; 0 - 120 cm,,<0 cm; >300 cm,Before each use,Transparency tube is clean,N/A,N/A,N/A,N/A,N/A
Water temperature,Water temperature,WT.1,deg C,414,2,0,50,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Glass Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,Annually,NIST verified thermometer,"Verified, >10% field replicates",N/A,N/A
Water temperature,Water temperature,WT.2,deg C,413,2,0,50,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (ex. Hanna 98509),0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged. ,Annually,NIST Verified thermometer,"Verified, >10% field replicates",N/A,N/A
Water temperature,Water temperature,WT.3,deg C,413,2,0,50,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,"Verified, >10% field replicates",N/A,N/A
Orthophosphate,Orthophosphate,OP.5,mg/L,189,2,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Lab,USEPA Method 365.2,"Specific to individual lab (ex. Colorimeter, spectrophotometer)",,Varies depending on lab equipment,Varies depending on lab equipment,,,,,,,Certified Lab and >10% Blank/Dup,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Water Clarity,Turbidity,WC.6,NTU,402,2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 180.1,Turbidimeter (ex. Hach 2100P),,± 2%,0.01-1000 NTU,,,,,Before Each Use,Formazin Primary Standard,"Acid-wash glassware, >10% field reps",48 hours,cool
Bacteria (E.Coli),E.coli,ECOLI.4,MPN,445,2,0,2420,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Lab,Colilert; SM9223B,IDEXX Colilert,1 E. Coli/100ml,log(0.6),<1 MPN/100ml to >2419.6,,"0 E/100 ml; >2,500 E/100ml",Before each use,"Collection bottles and Quanti-trays remain sterile, media is free flowing. Incubator at 35 +/-0.5 C",Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult),Certified lab/>10% blank/duplicate,24 hours,"cool, <=4 deg C"
Dissolved oxygen % Sat,Dissolved Oxygen % Sat,DO.3,pct,54,2,0,150,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,"Calibration, >10% field reps",N/A,N/A
Salinity,Salinity (Hydrometer),SA.5,ppt,999,1,,,Water,TRUE,FALSE,FALSE,TRUE,FALSE,Kit,,Hydrometer,,,,,,Before each use / Annual,,,,N/A,,
Conductivity,Conductivity,CO.3,mS/cm,242,1,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration not completed, <10% field reps",28 days,Cool; <= deg C
pH,pH multi-probe sonde,PH.4,SU,171,2,0,14,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,"Multiprobe sonde (YSI, Hydrolab)",0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,"Calibration, >10% field reps",24 hours,Cool; <= deg C
pH,pH,PH.5,SU,171,3,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,"Multiprobe sonde (YSI, Hydrolab)",0.01 pH,+- .01 pH,- 1.00 - 15.00 pH,,<4.0 pH; >9.5 pH,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,pH 4.00; 7.00; 10.00 buffer.,Tier III,24 hours,Cool; <= deg C
Dissolved oxygen,Dissolved Oxygen,DO.4,mg/L,50,1,0,20,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,USEPA Method 360.2,Winkler Titration (LaMotte 5860),0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,Not standardized,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,8 hours after acidiciation,Immediate acidification
Salinity,Salinity,SA.6,ppt,220,3,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,+-2%,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Tier III,,
Salinity,Salinity,SA.7,mg/L,220,3,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,+-2%,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Tier III,,
Dissolved oxygen,Dissolved Oxygen,DO.5,mg/L,48,3,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,Tier III,N/A,N/A
Dissolved oxygen % Sat,Dissolved Oxygen % Sat,DO.6,pct,54,3,0,150,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,Tier III,N/A,N/A
Water temperature,Water temperature,WT.4,deg C,413,3,0,50,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,Tier III,N/A,N/A
Total Kjeldahl Nitrogen,Total Kjeldahl Nitrogen,TKN.1,mg/L,312,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,"USEPA Method 351.1, 351.2, 351.4; SM4500-Norg-C; SM4500-Norg-B",Specific to individual lab,,,,,,,,,,Certified Lab and >10% Blank/Dups,28 Days,Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Orthophosphate,Orthophosphate,OP.6,ppm,189,1,0,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 365.2,"Field Colorimeter (ex. Hach, Hanna Digital Checker)",0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,N/A,Before each use,N/A,Before Each Use,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,N/A,N/A
Nitrite-nitrate,Nitrite,NO2NO3.3,ppb,999,p1,0,600,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,,Field Colorimeter (ex. Hanna HI 707 Digital Checker),1 ppb,±20 ppb ±5% of reading,0 to 600 ppb NO₂-N,,0 to 50°C (32 to 122°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,Historic dataset/not trained using CMC methods,,
Water temperature,Water temperature,WT.5,deg C,413,p2,0,50,,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,None,Historic dataset/not trained using CMC methods,,
Water Clarity,Secchi Disk,WC.7,M,225,p1,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Secchi Disk (ex. Ben Meadows 224217),10 cm,20 cm,0 - 300 cm,,<0 cm; >300 cm,Before each use / Annual,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,Historical data/not trained using CMC methods,,
Dissolved oxygen,Dissolved Oxygen,DO.7,mg/L,48,p2,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,Unknown,,N/A,N/A,N/A,Historic Dataset/not trained using CMC methods,,
Salinity,Salinity,SA.8,ppt,220,p2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,=+-2%,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Historic dataset/not trained using CMC methods,,
pH,pH Kit,PH.6,SU,173,p1,0,14,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Kit,See Appendix A,Wide Range Colorimetric Kit (LaMotte; Hach),0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,Historic dataset/not trained using CMC methods,24 hours,Cool; <= deg C
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.5,mg/L,999,p1,0,15,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Colorimetric kit (ex. Hach NI-14 1416100; LaMotte 3110; LaMotte 3354),0.01 mg/L (0 - 1 mg/L); 0.1 mg/L (1 - 10 mg/L),Unknown - testing needed,0 - 1 mg/L; 1 - 10 mg/L,,<0 mg/L; >10 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,Historic dataset/not trained using CMC methods,48 hours,Cool; <= deg C
Orthophosphate,Orthophosphate,OP.7,mg/L,999,p1,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Colorimetric Kit (ex. Hach PO-19 224800; Hanna HI 38061),0.02 mg/L (0 - 1 mg/L),Unknown - testing needed,0 - 1 mg/L; 0 - 5 mg/L,,<0 mg/L; > 5 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,Historic dataset/not trained using CMC methods,48 hours,Cool; <= deg C
Water temperature,Water temperature,WT.6,deg C,414,1,0,50,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Glass Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,N/A,None,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
Bacteria (E.Coli) Blank,E.Coli  Blank,ECOLI.5,MPN,445,2,,,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Lab,Colilert; SM9223B,IDEXX Colilert,1 E. Coli/100ml,log(0.6),<1 MPN/100ml to >2419.6,,"0 E/100 ml; >2,500 E/100ml",Before each use,"Collection bottles and Quanti-trays remain sterile, media is free flowing. Incubator at 35 +/-0.5 C",Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult),Certified lab/>10% blank/duplicate,24 hours,"cool, <=4 deg C"
Enterococcus Blank,Enterococcus Blank,ENT.3,CFU,999,2,,,Water,TRUE,FALSE,FALSE,TRUE,FALSE,Lab,USEPA Method 1600,Membrane Filtration; m-EI prepared Agar Plates,Dependent on dilution,,Dependent on dilution,,<0 E/100 mL; >2;500 E/100mL,Before each use,All equipment is intact and operational,N/A,N/A,Certified Lab and >10% Blanks/Dups,,
Total Phosphorus Blank,Total Phosphorus Blank,TP.3,mg/L,388,2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Lab,USEPA Method 365.4,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,Dependendent on preservation method - 28 days maximum,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Nitrogen Blank,Total Nitrogen Blank,TN.2,mg/L,999,2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Lab,USEPA Method 351.2,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,28 days,Freeze to -20 C
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.6,mg/L,144,p2,0,15,Water,FALSE,TRUE,FALSE,FALSE,FALSE,Probe,USEPA Method 353.3,Field Colorimeter (ex. Hach),,,,,Unknown,,N/A,N/A,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Orthophosphate,Orthophosphate,OP.8,mg/L,189,p2,0,5,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 365.2,"Specific to individual lab (ex. Colorimeter, spectrophotometer)",<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,no known,,,,,QA measures not fulfilled: Not approved lab or <10% blank/dup,,
