Name,Description,CMC Code,Units,CBP Method,Tier,NonfatalLowerRange,NonfatalUpperRange,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,Is Calibration Parameter?,Analytical Method,USEPA Approved Procedure,Equipment,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,Tier Justification,Holding Time,Sample Preservation
Salinity,Salinity,SA.9,pps,220,3,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hyrdolab)",0.1ppm; 1ppm; 0.01ppt,+-2%,0 to 99.9ppm; 100 to 999ppm; 1.00 to 9.99ppt,,<0 mg/L; >100 ppt,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Tier III,,
Alkalinity,Alkalinity (Titration),ALKY.3,mg/L,257,p2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Kit,EPA-NERL: 310.1,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),,Unknown - testing needed,,,Unknown,,N/A,N/A,N/A,Historic dataset/not trained using CMC methods,,
Nitrite-nitrate,Nitrite,NO2NO3.4,ppb,999,1,0,600,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,,Field Colorimeter (ex. Hanna HI 707 Digital Checker),1 ppb,±20 ppb ±5% of reading,0 to 600 ppb NO₂-N,,0 to 50°C (32 to 122°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,,
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.7,mg/L,144,1,0,15,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 353.3,Field Colorimeter (ex. Hach),,,,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Dependent on preservation method - 28 days maximum,
Orthophosphate,Orthophosphate,OP.9,mg/L,189,2,0,5,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 365.2,"Field Colorimeter (ex. Hach, Hanna Digital Checker)",0.01 mg/L,+- 4%; 0.04 mg/L,0 - 2.5 mg/L,,<0 mg/L; > 2.5Â mg/L,Before each use,Glassware is clean and intact; reagents have not expired,Before Each Use,,"Acid-wash glassware, standardized, >10% dups",48 hours,cool
Water Clarity,Turbidity,WC.8,NTU,402,p2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 180.1,Turbidimeter (ex. Hach 2100P),,± 2%,0.01-1000 NTU,,,,,Before Each Use,,Historic dataset/not trained using CMC methods,48 hours,cool
Conductivity,Conductivity,CO.4,uS/cm,242,1,0,20000,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 120.1,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),,,,,,,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration not completed, <10% field reps",28 days,Cool; <= deg C
Enterococcus Blank,Enterococcus Blank,ENT.4,MPN,999,2,,,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,ASTM Method (#D6503-99),IDEXX Enterolert,1 enterococci/100 mL,,1-2;419 enterococci/100 mL,,<0 E/100 mL; >2;500 E/100mL,Before each use,Sample collection bottles and Quanti-Tray are sterile and intact,Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult),Certified Lab and >10% Blanks/Dups,,
Ammonia-nitrogen Blank,Ammonia Blank,NH4N.2,mg/L,123,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method  350.1 (non-tidal) / 349.0 (tidal),Specific to Individual Lab,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dup,Dependendent on preservation method - 28 days maximum,Cool; <= deg C (48 hours); Add H2SO4 to pH < 2 and Cool; <= deg C (7 days); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Total Suspended Solids Blank,Total Suspended Solids Blank,TSS.2,mg/L,397,2,,,Water,FALSE,TRUE,TRUE,TRUE,FALSE,Lab,SM 2540 D-11,Specific to individual lab,1.0 mg/L,,,,,,,,,Certified Lab and >10% Blank/Dups,,
Conductivity,Conductivity,CO.5,uS/cm,242,2,0,20000,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",,
Dissolved oxygen,Dissolved oxygen,DO.8,mg/L,48,2,0,20,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Individual Probe (ex. Oakton, Extech, Hanna)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,"Calibration, >10% field reps",,
pH,pH,PH.7,SU,173,1,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,,Wide Range Colorimetric Kit (ex. LaMotte; Hach),0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,Before each use,Glassware is clean and intact; reagents have not expired,N/A,,,24 hours,Cool; <= deg C
Conductivity,Conductivity,CO.6,uS/cm,242,3,0,20000,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",28 days,Cool; <= deg C
Conductivity,Conductivity,CO.7,uS/cm,242,1,0,20000,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,N/A,N/A,"Calibration not completed, <10% field reps",N/A,N/A
Conductivity,Conductivity,CO.8,uS/cm,242,p2,0,20000,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 120.1,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,N/A,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Dissolved oxygen,Dissolved oxygen,DO.9,mg/L,48,p2,0,20,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Individual Probe (ex. Oakton, Extech, Hanna)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,Unknown,,N/A,N/A,N/A,Historic Dataset/not trained using CMC methods,N/A,N/A
Dissolved oxygen,Dissolved oxygen,DO.10,mg/L,48,1,0,20,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Individual Probe (ex. Oakton, Extech, Hanna)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,N/A,,N/A,N/A,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,N/A,N/A
Dissolved oxygen,Dissolved oxygen,DO.11,mg/L,48,1,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 360.1; As described in probe manual,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.01 mg/L,+- 2% FS,0 - 20 mg/L,,N/A,,N/A,N/A,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,N/A,N/A
Total Dissolved Solids,Total Dissolved Solids,TDS.2,mg/L,999,1,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,,See Appendix A,"Multiparameter Probe (Hydrolab, YSI)",10 mg/L,+- 2% FS,0 - 9.99 g/L,,<0 g/L; >10 g/L,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,Calculated value,N/A,N/A
Total Kjeldahl Nitrogen,Total Kjeldahl Nitrogen,TKN.2,mg/L,312,p2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,"USEPA Method 351.1, 351.2, 351.4; SM4500-Norg-C; SM4500-Norg-B",Specific to individual lab,Specific to individual lab,Specific to individual lab,Specific to individual lab,,N/A,,N/A,,N/A,"QA measures not fulfilled: Not approved lab, <10% blank/dups",N/A,N/A
Total Nitrogen,Total Nitrogen,TN.3,mg/L,999,p2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 351.2,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<NO23+NH4,,,,,"QA measures not fulfilled: Not approved lab, <10% blank/dups",28 days,Freeze to -20 C
Total Suspended Solids,Total Suspended Solids,TSS.3,mg/L,397,p2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,SM 2540 D-11,Specific to individual lab,1.0 mg/L,,,,,,,,,"QA measures not fulfilled: Not approved lab, <10% blank/dups",,
Water Clarity,Turbidity,WC.9,FAU,999,2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 180.1,Field colorimeter (ex. Hach DR 900),,,,,,,,,,"Wash glassware, >10% field reps",,
Water temperature,Water temperature,WT.7,deg C,413,1,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (ex. Hanna 98509),0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,N/A,,N/A,N/A,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
Water temperature,Water Temperature,WT.8,deg C,414,p2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Glass Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,N/A,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Water temperature,Water temperature,WT.9,deg C,413,p2,,,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (ex. Hanna 98509),0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,N/A,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Water temperature,Water temperature,WT.10,deg C,413,1,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,N/A,,N/A,,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
pH,pH,PH.8,SU,173,p2,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,Unknown,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
pH,pH,PH.9,SU,171,p2,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,Individual probe (ex. Hanna; LaMotte; Oakton; Extech),0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,Unknown,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
pH,pH,PH.10,SU,171,1,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,Individual probe (ex. Hanna; LaMotte; Oakton; Extech),0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,N/A,,N/A,,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
pH,pH,PH.11,SU,171,p2,0,14,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,"Multiprobe sonde (YSI, Hydrolab)",0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,Unknown,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
pH,pH,PH.12,SU,171,1,0,14,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 150.1; As described in probe manual,"Multiprobe sonde (YSI, Hydrolab)",0.01 pH,+- 0.01 pH,- 1.00 - 15.00 pH,,N/A,,N/A,,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,N/A,N/A
pH,pH Kit,PH.13,SU,173,1,0,14,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Kit,See Appendix A,Narrow Range Colorimetric Kit (ex. LaMotte; Hach),0.2 SU; 0.5 SU,+- 0.4; + 1 SU,3.0 - 10.5 SU; 4 to 10 SU,,<4.0 SU; >9.5 SU,,N/A,,N/A,<10% field dups,N/A,N/A
Nitrate-nitrogen,Nitrate-nitrogen,NO3N.2,mg/L,144,p2,0,15,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 353.3,"Specific to individual lab (ex. Colorimeter, spectrophotometer)",,Varies depending on lab equipment,Varies depending on lab equipment,,N/A,,N/A,,N/A,QA measures not fulfilled: Not approved lab or <10% blank/dup,N/A,N/A
Nitrite-nitrate,Nitrite-nitrate,NO2NO3.2,mg/L,144,p2,0,5,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 353.3 (non-tidal) / 353.4 (tidal),Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,N/A,,N/A,,N/A,Historical data/not trained using CMC methods,Dependendent on preservation method - 28 days maximum,Cool; <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Nitrite-nitrate,Nitrite,NO2NO3.5,ppb,999,p2,0,600,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,,Field Colorimeter (ex. Hanna HI 707 Digital Checker),1 ppb,±20 ppb ±5% of reading,0 to 600 ppb NO‚-N,,N/A,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Nitrite-nitrate,Nitrite,NO2NO3.6,ppb,999,2,0,600,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,,Field Colorimeter (ex. Hanna HI 707 Digital Checker),1 ppb,±20 ppb ±5% of reading,0 to 600 ppb NO‚-N,,0 to 50°C (32 to 122°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,"Acid-wash glassware, standardized, >10% dups",,
Ammonia-nitrogen,Ammonia,NH4N.3,mg/L,123,p2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method  350.1 (non-tidal) / 349.0 (tidal),Specific to individual lab,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,N/A,,N/A,QA measures not fulfilled: Not approved lab or <10% blank/dup,N/A,N/A
Conductivity,Conductivity,CO.9,uS/cm,242,p2,0,20000,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Air temperature,Air temperature,AT.4,deg C,423,1,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,N/A,,N/A,,N/A,"Not verified against NIST Thermometer, <10% field reps",N/A,N/A
Air temperature,Air temperature,AT.5,deg C,423,1,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (Ex. Hanna 98509),0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,N/A,,N/A,,N/A,"Not verified against NIST Thermometer, <10% field reps",N/A,N/A
Air temperature,Air temperature,AT.6,deg C,423,1,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiparameter Probe (Ex. LaMotte 1761),0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,N/A,,N/A,,N/A,"Not verified against NIST Thermometer, <10% field reps",N/A,N/A
Alkalinity,Alkalinity,ALKY.4,mg/L,999,1,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Probe,See Appendix A,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,N/A,,N/A,,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,N/A,N/A
Alkalinity,Alkalinity (Titration),ALKY.5,mg/L,257,1,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Kit,EPA-NERL: 310.1,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),4 mg/L,Unknown - testing needed,0-200+ mg/L,,N/A,,N/A,,N/A,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,N/A,N/A
Alkalinity,Alkalinity,ALKY.6,mg/L,999,p2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Probe,See Appendix A,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,QA unknown,,N/A,,N/A,Historic dataset/not trained using CMC methods,N/A,N/A
Total Phosphorus,Total Phosphorus,TP.4,ug/L,388,2,,,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Lab,USEPA Method 365.4,Specific to individual lab,<= 15% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,<PO4,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified Lab and >10% Blank/Dups,Cool;Â  <= deg C (48 hours); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days),
